"addr_state","total_loan_amnt","num_customers","avg_loan_amnt","avg_int_rate"
"CA",23469825,1685,13928,13
"NY",12184025,868,14036,14
"TX",11682000,783,14919,13
"FL",8555875,648,13203,13
"NJ",5803325,400,14508,13
"PA",5101100,367,13899,13
"IL",5040100,362,13922,13
"VA",4809000,317,15170,14
"GA",4527650,310,14605,13
"NC",3812475,287,13283,13
