"addr_state","top_loan_amnt","num_customers"
"KS",32000,93
"OK",31200,98
"CO",30000,189
"CT",30000,143
"MN",29700,163
"NC",29587,287
"MA",29175,184
"SC",28625,131
"MD",28587,219
"GA",28208,310
