"addr_state","num_customers","avg_annual_inc"
"CA",1685,73506.5576481597
"NY",868,72822.9877858881
"TX",783,74802.7760237781
"FL",648,66960.6307792208
"NJ",400,83136.2955384615
"PA",367,69401.2404558405
"IL",362,71247.1698245614
"VA",317,77656.5712251655
"GA",310,73221.225
"NC",287,70465.0819330855
