Features,Feature Importance
loan_amnt,0.0266136497995
funded_amnt,0.0243052134308
annual_inc,0.125499447749
installment,0.100195070447
dti,0.0540071482797
delinq_2yrs,0.00290809600244
mths_since_last_delinq,0.00952438704833
open_acc,0.0902219984079
revol_bal,0.0303198447652
total_acc,0.105128507052
out_prncp,0.0903402062071
total_pymnt,0.117486307273
total_rec_prncp,0.124690235667
total_rec_int,0.098759887870ann4
