id,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,wtd_loans,interest_rate,int_rate2,num_rate,numrate,good
999547,16000,16000, 36 months,10.16%,517.48,n/a,RENT,155000,Late (31-120 days),debt_consolidation,CA,26.49,0,11/25/82 12:58,,18,58888,35,11999.79,5391.45,4000.21,1365.39,,,10.16%,,,0
1061580,27575,27575, 60 months,12.69%,623.05,1 year,RENT,91200,Charged Off,credit_card,CA,27.69,0,8/4/95 4:07,,13,45053,29,0,1866.87,1003.66,863.21,,,12.69%,,,0
1074785,4800,4800, 36 months,12.69%,161.02,6 years,MORTGAGE,48000,Charged Off,home_improvement,NM,4,0,6/25/99 8:34,,4,1361,7,0,1925.64,1398.06,527.58,,,12.69%,,,0
1076316,19200,19200, 60 months,20.30%,511.9,10+ years,MORTGAGE,150000,Charged Off,debt_consolidation,GA,6.18,0,4/22/00 9:29,40,10,17541,19,0,5118.17,2013.42,3088.78,,,20.30%,,,0
1098366,21000,21000, 60 months,12.69%,474.49,6 years,MORTGAGE,70000,Late (31-120 days),debt_consolidation,SC,20.85,0,9/21/03 11:37,,15,8865,34,15121.56,9962.87,5878.44,4084.43,,,12.69%,,,0
1099469,8325,8325, 36 months,14.65%,287.17,5 years,RENT,20000,Charged Off,credit_card,NY,14.94,0,9/13/99 11:51,48,4,9022,8,0,2408.78,1345.89,662.2,,,14.65%,,,0
1102636,5000,5000, 36 months,14.65%,172.48,< 1 year,RENT,150000,Charged Off,debt_consolidation,NY,1.63,1,5/16/05 12:37,18,9,3847,18,0,1895.08,1301.95,593.13,,,14.65%,,,0
1110001,18000,18000, 36 months,7.90%,563.23,10+ years,MORTGAGE,36000,In Grace Period,debt_consolidation,KS,9.4,0,1/12/01 9:11,,12,14561,26,6486.81,13507.2,11513.19,1994.01,,,7.90%,,,0
1112033,4000,4000, 36 months,12.69%,134.18,10+ years,MORTGAGE,66000,Charged Off,wedding,NJ,21.09,0,10/28/98 10:39,,11,10054,29,0,800.82,563.07,237.75,,,12.69%,,,0
1114693,7000,7000, 36 months,8.90%,222.28,4 years,OWN,28000,Late (31-120 days),debt_consolidation,IL,19.2,0,10/27/87 9:18,,7,6908,17,2951.74,4882.24,4048.26,833.98,,,8.90%,,,0
1130305,14000,14000, 36 months,9.91%,451.15,2 years,RENT,25356,Charged Off,small_business,NC,16.56,0,8/2/94 1:22,,4,0,4,0,928.49,335.17,115.49,,,9.91%,,,0
1138771,9000,9000, 36 months,15.27%,313.18,7 years,RENT,40000,Charged Off,small_business,MD,4.9,0,5/6/06 11:36,,7,6383,10,0,5479.85,3828.4,1651.45,,,15.27%,,,0
1140849,8000,8000, 36 months,14.27%,274.48,2 years,RENT,57000,Charged Off,debt_consolidation,NY,12.42,0,3/25/03 10:07,,4,5469,22,0,2300.43,1297.32,618.44,,,14.27%,,,0
1141464,20000,20000, 36 months,8.90%,635.07,5 years,RENT,120000,Charged Off,debt_consolidation,CA,10.34,0,11/28/97 3:28,,8,13576,26,0,2538.32,1967.19,571.13,,,8.90%,,,0
1143076,5400,5400, 36 months,10.74%,176.13,6 years,MORTGAGE,30000,Charged Off,debt_consolidation,CA,13.1,0,12/5/06 12:40,,9,7589,16,0,1581.93,1189.81,392.12,,,10.74%,,,0
1145235,15000,15000, 36 months,13.99%,512.6,2 years,MORTGAGE,57000,Default,debt_consolidation,CA,18.95,0,12/11/05 3:34,,15,13797,26,7875.15,9723.25,7124.85,2598.4,,,13.99%,,,0
1153863,6000,6000, 36 months,16.29%,211.81,3 years,RENT,50000,Charged Off,credit_card,WI,12.1,0,11/27/92 10:56,39,8,4662,26,0,3170.7,2148.23,1022.47,,,16.29%,,,0
1156752,20000,20000, 60 months,12.12%,446.11,6 years,RENT,42000,Late (31-120 days),debt_consolidation,NY,16.97,0,10/14/01 1:18,,11,8337,21,14034.4,9790.44,5965.6,3824.84,,,12.12%,,,0
1159899,25000,25000, 60 months,15.31%,598.83,1 year,MORTGAGE,80000,Late (16-30 days),credit_card,OH,11.88,0,6/20/99 8:04,,14,29045,22,18326.28,12574.63,6673.72,5900.91,,,15.31%,,,0
1162420,35000,35000, 60 months,23.33%,993.32,8 years,RENT,92436.99,Charged Off,debt_consolidation,UT,12.4,0,8/7/92 10:07,29,14,22933,32,0,8937.58,3032.66,5904.92,,,23.33%,,,0
1166679,11500,11500, 36 months,7.62%,358.36,5 years,RENT,35400,Charged Off,debt_consolidation,OK,11.05,0,5/31/00 5:00,,12,14793,22,0,6713.59,6572.18,141.41,,,7.62%,,,0
1170425,10000,10000, 60 months,13.99%,232.64,6 years,RENT,39000,Default,debt_consolidation,NC,14.52,0,1/24/04 5:59,,9,6167,16,7694.39,4180.5,2305.61,1874.89,,,13.99%,,,0
1173918,13000,13000, 36 months,12.12%,432.54,7 years,RENT,27000,Charged Off,debt_consolidation,CA,14.22,0,6/24/02 1:56,,5,12910,8,0,7999.31,6340.34,1637.75,,,12.12%,,,0
1187283,16000,16000, 36 months,18.25%,580.45,7 years,MORTGAGE,41850,Late (31-120 days),debt_consolidation,UT,21.1,0,6/21/99 6:22,,6,14057,15,9099.51,10446.1,6900.49,3545.61,,,18.25%,,,0
1191951,10000,10000, 36 months,6.03%,304.36,9 years,RENT,60000,Charged Off,debt_consolidation,IL,3.36,0,6/6/96 9:33,49,7,5959,31,0,4564.2,3947.65,616.55,,,6.03%,,,0
1192787,30000,30000, 60 months,22.45%,836.27,4 years,RENT,90000,Late (31-120 days),house,MA,18.4,0,2/5/02 9:09,55,11,10800,34,23021.95,17559.06,6978.05,10581.01,,,22.45%,,,0
1196393,11875,11875, 36 months,6.03%,361.43,10+ years,MORTGAGE,32886,Charged Off,debt_consolidation,FL,20.8,0,9/29/86 11:20,,16,23490,42,0,3612,3084.77,527.23,,,6.03%,,,0
1199275,4200,4200, 36 months,6.62%,128.96,2 years,RENT,85000,Default,other,FL,11.42,0,1/28/93 8:13,,11,19623,37,1972.28,2531.25,2227.72,303.53,,,6.62%,,,0
1215978,2700,2700, 60 months,20.50%,72.29,< 1 year,OWN,30000,Late (31-120 days),other,NY,7.88,0,9/22/07 7:43,,5,5528,7,2159.62,1334.17,540.38,778.82,,,20.50%,,,0
1224624,27300,27300, 60 months,21.48%,745.95,n/a,RENT,56000,Charged Off,debt_consolidation,VA,18.75,0,3/12/88 3:32,61,11,23713,24,0,6711.84,2487.79,4224.05,,,21.48%,,,0
1238860,6000,6000, 36 months,7.90%,187.75,1 year,OWN,30000,Late (31-120 days),small_business,GA,8.35,0,9/10/06 8:36,,20,1386,22,3012.19,3564.59,2987.81,576.78,,,7.90%,,,0
1241624,6000,6000, 36 months,13.99%,205.04,1 year,RENT,102500,Charged Off,debt_consolidation,WA,9.87,0,10/27/03 1:20,42,11,10019,20,0,1843.38,1272.71,570.67,,,13.99%,,,0
1242216,16000,16000, 36 months,15.31%,557.08,10+ years,MORTGAGE,119000,Default,credit_card,SC,9.99,0,12/29/88 2:03,,21,55121,38,7696.88,10001.52,8303.12,1698.4,,,15.31%,,,0
1248735,8000,8000, 36 months,12.12%,266.18,10+ years,MORTGAGE,65000,Late (31-120 days),home_improvement,NC,23.78,0,2/9/79 8:41,69,7,1083,45,3919.52,5316.6,4080.49,1236.11,,,12.12%,,,0
1251816,6000,6000, 36 months,7.62%,186.97,< 1 year,RENT,55000,Late (31-120 days),small_business,DC,26.81,0,1/6/97 12:53,,18,6994,31,3176.9,3358.08,2823.11,534.97,,,7.62%,,,0
1252575,7600,7600, 60 months,23.33%,215.7,10+ years,RENT,100000,Late (31-120 days),debt_consolidation,TX,12.32,0,6/28/04 7:49,,10,9894,18,6161.94,3881.69,1438.06,2443.63,,,23.33%,,,0
1255139,10000,10000, 36 months,12.12%,332.72,4 years,OWN,24500,Charged Off,other,TX,17.53,0,2/27/05 5:20,,11,7528,23,0,5423.39,3998.8,1424.59,,,12.12%,,,0
1255925,2500,2500, 36 months,14.65%,86.24,n/a,MORTGAGE,50000,Charged Off,other,OH,19.39,1,5/8/97 2:08,2,9,872,22,0,1118.78,778.23,340.55,,,14.65%,,,0
1267319,25000,25000, 36 months,10.74%,815.4,6 years,RENT,56000,Charged Off,debt_consolidation,CA,11.38,0,6/2/05 3:16,,16,3960,24,0,4558.5,2397.24,862.56,,,10.74%,,,0
1280467,8000,8000, 36 months,13.67%,272.15,< 1 year,RENT,33500,Charged Off,other,NJ,23.5,0,1/29/00 8:32,,5,27151,6,0,3265.2,2313.18,952.02,,,13.67%,,,0
1281513,23325,23325, 60 months,23.26%,661.04,10+ years,RENT,47000,Charged Off,debt_consolidation,OR,22.4,0,5/15/99 4:51,,11,33483,32,0,9254.25,3310.95,5905.85,,,23.26%,,,0
1282099,10800,10800, 36 months,13.11%,364.47,n/a,RENT,34000,Charged Off,medical,CA,4.09,0,1/30/02 7:07,,5,3903,12,0,4464.56,2857.74,1142.19,,,13.11%,,,0
1284927,27000,27000, 60 months,19.99%,715.19,1 year,RENT,110000,Charged Off,debt_consolidation,CA,15.48,1,9/24/97 2:07,17,6,1141,21,0,10718.1,4476.65,6241.45,,,19.99%,,,0
1307018,23000,23000, 36 months,14.65%,793.37,9 years,RENT,48401,In Grace Period,debt_consolidation,AZ,22.34,0,1/16/01 1:19,47,12,19786,31,11478,15853.2,11522.01,4331.19,,,14.65%,,,0
1310390,18000,18000, 60 months,20.50%,481.92,6 years,MORTGAGE,50000,Late (31-120 days),debt_consolidation,TX,18.12,0,11/8/95 9:12,51,11,3679,52,14584.74,8697.98,3415.26,5282.72,,,20.50%,,,0
1324189,10000,10000, 36 months,12.12%,332.72,8 years,RENT,32000,Charged Off,debt_consolidation,NY,13.31,0,10/28/06 5:50,,10,6160,15,0,4653.6,3462.57,1191.03,,,12.12%,,,0
1327700,10000,10000, 36 months,15.31%,348.18,8 years,RENT,30600,Charged Off,debt_consolidation,NJ,3.84,0,7/28/01 8:03,69,4,3739,6,0,5220.45,3619.89,1600.56,,,15.31%,,,0
1331033,20500,20500, 60 months,17.99%,520.46,1 year,OWN,41000,Charged Off,debt_consolidation,IL,20.49,0,1/30/01 6:32,,6,19478,12,0,7826.92,3552.15,4248.77,,,17.99%,,,0
1338029,10000,10000, 36 months,15.81%,350.64,10+ years,MORTGAGE,40000,Charged Off,debt_consolidation,FL,21.59,0,3/26/97 4:25,,13,9084,13,0,4908.41,3234.95,1655.95,,,15.81%,,,0
1340757,6000,6000, 36 months,13.67%,204.11,9 years,RENT,25000,Late (31-120 days),medical,OR,7.87,0,10/12/99 4:28,,4,4807,6,3139.35,3876.57,2860.65,1015.92,,,13.67%,,,0
1342347,7300,7300, 36 months,13.67%,248.33,< 1 year,MORTGAGE,48000,Charged Off,credit_card,TX,16.28,1,9/17/81 9:44,16,9,7021,17,0,3724.35,2684.79,1039.56,,,13.67%,,,0
1344834,8000,8000, 36 months,13.99%,273.39,1 year,RENT,65000,Charged Off,debt_consolidation,WA,33.95,0,1/9/06 8:08,,19,21632,23,0,722.54,179.95,93.18,,,13.99%,,,0
1350197,8800,8800, 36 months,15.31%,306.4,< 1 year,RENT,18000,Charged Off,medical,IL,29.2,0,8/21/98 3:49,61,12,4434,26,0,3156.27,1838.47,918.32,,,15.31%,,,0
